catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Maryland,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,12.7,1.1,2020-06-10
Tennessee,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,8.1,1.8,2020-06-10
Georgia,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,2.3,0,2020-06-10
Connecticut,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,2,0,2020-06-10
Colorado,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,16.1,0,2020-06-10
California,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,4.5,0.5,2020-06-10
Oregon,EIP,2020-21,2020,24,0-4 yr,Overall,Overall,2,0,2020-06-10
Ohio,IHSP,2020-21,2020,24,0-4 yr,Overall,Overall,6.5,0,2020-06-10
Connecticut,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,4,2,2020-06-17
Georgia,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,2.7,0.4,2020-06-17
Iowa,IHSP,2020-21,2020,25,0-4 yr,Overall,Overall,24.3,0,2020-06-17
Tennessee,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,8.1,0,2020-06-17
Utah,IHSP,2020-21,2020,25,0-4 yr,Overall,Overall,1.2,0,2020-06-17
Maryland,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,14.9,2.2,2020-06-17
Minnesota,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,11,1.5,2020-06-17
Michigan,IHSP,2020-21,2020,25,0-4 yr,Overall,Overall,4.4,0,2020-06-17
New York,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,3.6,0,2020-06-17
New Mexico,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,4.2,0,2020-06-17
Oregon,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,2,0,2020-06-17
Ohio,IHSP,2020-21,2020,25,0-4 yr,Overall,Overall,6.5,0,2020-06-17
Colorado,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,16.7,0.6,2020-06-17
California,EIP,2020-21,2020,25,0-4 yr,Overall,Overall,5,0.5,2020-06-17
Iowa,IHSP,2020-21,2020,26,0-4 yr,Overall,Overall,24.3,0,2020-06-24
Tennessee,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,9,0.9,2020-06-24
Utah,IHSP,2020-21,2020,26,0-4 yr,Overall,Overall,2.4,1.2,2020-06-24
Oregon,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,3,1,2020-06-24
Ohio,IHSP,2020-21,2020,26,0-4 yr,Overall,Overall,7.9,1.4,2020-06-24
New York,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,3.6,0,2020-06-24
New Mexico,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,7,2.8,2020-06-24
Minnesota,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,11.5,0.5,2020-06-24
Michigan,IHSP,2020-21,2020,26,0-4 yr,Overall,Overall,4.4,0,2020-06-24
Maryland,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,15.2,0.3,2020-06-24
Georgia,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,3.8,1.1,2020-06-24
Connecticut,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,6,2,2020-06-24
Colorado,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,16.7,0,2020-06-24
California,EIP,2020-21,2020,26,0-4 yr,Overall,Overall,5.5,0.5,2020-06-24
Georgia,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,5.7,1.9,2020-07-01
Colorado,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,17.3,0.6,2020-07-01
California,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,5.5,0,2020-07-01
Connecticut,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,6,0,2020-07-01
Iowa,IHSP,2020-21,2020,27,0-4 yr,Overall,Overall,24.3,0,2020-07-01
Tennessee,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,9.8,0.9,2020-07-01
Utah,IHSP,2020-21,2020,27,0-4 yr,Overall,Overall,3.6,1.2,2020-07-01
Maryland,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,15.5,0.3,2020-07-01
Minnesota,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,11.5,0,2020-07-01
Michigan,IHSP,2020-21,2020,27,0-4 yr,Overall,Overall,4.4,0,2020-07-01
New York,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,3.6,0,2020-07-01
New Mexico,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,7,0,2020-07-01
Oregon,EIP,2020-21,2020,27,0-4 yr,Overall,Overall,3,0,2020-07-01
Ohio,IHSP,2020-21,2020,27,0-4 yr,Overall,Overall,8.6,0.7,2020-07-01
Iowa,IHSP,2020-21,2020,28,0-4 yr,Overall,Overall,24.3,0,2020-07-08
Tennessee,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,11.6,1.8,2020-07-08
Utah,IHSP,2020-21,2020,28,0-4 yr,Overall,Overall,4.8,1.2,2020-07-08
Georgia,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,8.7,3,2020-07-08
Connecticut,EIP,2020-21,2020,28,0-4 yr,Overall,Overall,6,0,2020-07-08
