catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Iowa,IHSP,2020-21,2020,26,Overall,Overall,Overall,135.6,4.6,2020-06-24
Tennessee,EIP,2020-21,2020,26,Overall,Overall,Overall,84.4,7.3,2020-06-24
Utah,IHSP,2020-21,2020,26,Overall,Overall,Overall,62.9,7.5,2020-06-24
Maryland,EIP,2020-21,2020,26,Overall,Overall,Overall,178.9,3.9,2020-06-24
Michigan,IHSP,2020-21,2020,26,Overall,Overall,Overall,93.3,0.7,2020-06-24
Minnesota,EIP,2020-21,2020,26,Overall,Overall,Overall,98.2,3.9,2020-06-24
New Mexico,EIP,2020-21,2020,26,Overall,Overall,Overall,55.4,2.6,2020-06-24
New York,EIP,2020-21,2020,26,Overall,Overall,Overall,73.7,1.4,2020-06-24
Ohio,IHSP,2020-21,2020,26,Overall,Overall,Overall,60.6,4,2020-06-24
Oregon,EIP,2020-21,2020,26,Overall,Overall,Overall,31.9,2.2,2020-06-24
Georgia,EIP,2020-21,2020,26,Overall,Overall,Overall,108.8,10.7,2020-06-24
California,EIP,2020-21,2020,26,Overall,Overall,Overall,43.5,4,2020-06-24
Colorado,EIP,2020-21,2020,26,Overall,Overall,Overall,132.3,2.7,2020-06-24
Connecticut,EIP,2020-21,2020,26,Overall,Overall,Overall,279.2,1.5,2020-06-24
Connecticut,EIP,2020-21,2020,27,Overall,Overall,Overall,281.1,1.9,2020-07-01
Colorado,EIP,2020-21,2020,27,Overall,Overall,Overall,135.5,3.2,2020-07-01
California,EIP,2020-21,2020,27,Overall,Overall,Overall,49.1,5.6,2020-07-01
Georgia,EIP,2020-21,2020,27,Overall,Overall,Overall,126.2,17.3,2020-07-01
Oregon,EIP,2020-21,2020,27,Overall,Overall,Overall,34.1,2.2,2020-07-01
Ohio,IHSP,2020-21,2020,27,Overall,Overall,Overall,64.4,3.8,2020-07-01
New York,EIP,2020-21,2020,27,Overall,Overall,Overall,75.2,1.5,2020-07-01
New Mexico,EIP,2020-21,2020,27,Overall,Overall,Overall,59.9,4.5,2020-07-01
Minnesota,EIP,2020-21,2020,27,Overall,Overall,Overall,102.7,4.5,2020-07-01
Michigan,IHSP,2020-21,2020,27,Overall,Overall,Overall,94.2,1,2020-07-01
Maryland,EIP,2020-21,2020,27,Overall,Overall,Overall,183.5,4.6,2020-07-01
Tennessee,EIP,2020-21,2020,27,Overall,Overall,Overall,93,8.5,2020-07-01
Utah,IHSP,2020-21,2020,27,Overall,Overall,Overall,71,8.1,2020-07-01
Iowa,IHSP,2020-21,2020,27,Overall,Overall,Overall,141,5.3,2020-07-01
Iowa,IHSP,2020-21,2020,28,Overall,Overall,Overall,150.1,9.1,2020-07-08
Tennessee,EIP,2020-21,2020,28,Overall,Overall,Overall,107.3,14.3,2020-07-08
Utah,IHSP,2020-21,2020,28,Overall,Overall,Overall,79.7,8.7,2020-07-08
Maryland,EIP,2020-21,2020,28,Overall,Overall,Overall,188.7,5.2,2020-07-08
Michigan,IHSP,2020-21,2020,28,Overall,Overall,Overall,95.2,1,2020-07-08
Minnesota,EIP,2020-21,2020,28,Overall,Overall,Overall,107.6,5,2020-07-08
New Mexico,EIP,2020-21,2020,28,Overall,Overall,Overall,68.2,8.3,2020-07-08
New York,EIP,2020-21,2020,28,Overall,Overall,Overall,77.5,2.3,2020-07-08
Ohio,IHSP,2020-21,2020,28,Overall,Overall,Overall,70,5.6,2020-07-08
Oregon,EIP,2020-21,2020,28,Overall,Overall,Overall,37.8,3.7,2020-07-08
Georgia,EIP,2020-21,2020,28,Overall,Overall,Overall,148.2,22,2020-07-08
California,EIP,2020-21,2020,28,Overall,Overall,Overall,55.4,6.3,2020-07-08
Colorado,EIP,2020-21,2020,28,Overall,Overall,Overall,140,4.4,2020-07-08
Connecticut,EIP,2020-21,2020,28,Overall,Overall,Overall,283.9,2.9,2020-07-08
Connecticut,EIP,2020-21,2020,29,Overall,Overall,Overall,285.6,1.7,2020-07-15
Colorado,EIP,2020-21,2020,29,Overall,Overall,Overall,144.4,4.5,2020-07-15
California,EIP,2020-21,2020,29,Overall,Overall,Overall,62.6,7.3,2020-07-15
Georgia,EIP,2020-21,2020,29,Overall,Overall,Overall,170.3,22.1,2020-07-15
Oregon,EIP,2020-21,2020,29,Overall,Overall,Overall,41,3.2,2020-07-15
Ohio,IHSP,2020-21,2020,29,Overall,Overall,Overall,76,5.9,2020-07-15
New York,EIP,2020-21,2020,29,Overall,Overall,Overall,79.7,2.1,2020-07-15
New Mexico,EIP,2020-21,2020,29,Overall,Overall,Overall,76.5,8.2,2020-07-15
Minnesota,EIP,2020-21,2020,29,Overall,Overall,Overall,113.8,6.2,2020-07-15
Michigan,IHSP,2020-21,2020,29,Overall,Overall,Overall,97.6,2.4,2020-07-15
Maryland,EIP,2020-21,2020,29,Overall,Overall,Overall,194.9,6.3,2020-07-15
Utah,IHSP,2020-21,2020,29,Overall,Overall,Overall,87,7.3,2020-07-15
Tennessee,EIP,2020-21,2020,29,Overall,Overall,Overall,121.5,14.3,2020-07-15
Iowa,IHSP,2020-21,2020,29,Overall,Overall,Overall,156.2,6.1,2020-07-15
Iowa,IHSP,2020-21,2020,30,Overall,Overall,Overall,163.1,6.9,2020-07-22
Tennessee,EIP,2020-21,2020,30,Overall,Overall,Overall,134.2,12.7,2020-07-22
Utah,IHSP,2020-21,2020,30,Overall,Overall,Overall,94.1,7.1,2020-07-22
Maryland,EIP,2020-21,2020,30,Overall,Overall,Overall,202.7,7.8,2020-07-22
Michigan,IHSP,2020-21,2020,30,Overall,Overall,Overall,99.8,2.2,2020-07-22
Minnesota,EIP,2020-21,2020,30,Overall,Overall,Overall,120.2,6.4,2020-07-22
New Mexico,EIP,2020-21,2020,30,Overall,Overall,Overall,83.8,7.3,2020-07-22
New York,EIP,2020-21,2020,30,Overall,Overall,Overall,80.7,1.1,2020-07-22
Ohio,IHSP,2020-21,2020,30,Overall,Overall,Overall,82.1,6.1,2020-07-22
Oregon,EIP,2020-21,2020,30,Overall,Overall,Overall,43.5,2.6,2020-07-22
Georgia,EIP,2020-21,2020,30,Overall,Overall,Overall,187.7,17.4,2020-07-22
California,EIP,2020-21,2020,30,Overall,Overall,Overall,70.7,8.1,2020-07-22
Colorado,EIP,2020-21,2020,30,Overall,Overall,Overall,148.1,3.7,2020-07-22
Connecticut,EIP,2020-21,2020,30,Overall,Overall,Overall,288.2,2.7,2020-07-22
Connecticut,EIP,2020-21,2020,31,Overall,Overall,Overall,290.5,2.3,2020-07-29
Colorado,EIP,2020-21,2020,31,Overall,Overall,Overall,151.6,3.5,2020-07-29
California,EIP,2020-21,2020,31,Overall,Overall,Overall,78.5,7.8,2020-07-29
Georgia,EIP,2020-21,2020,31,Overall,Overall,Overall,201.8,14.2,2020-07-29
Oregon,EIP,2020-21,2020,31,Overall,Overall,Overall,46.5,2.9,2020-07-29
Ohio,IHSP,2020-21,2020,31,Overall,Overall,Overall,87.2,5.1,2020-07-29
New York,EIP,2020-21,2020,31,Overall,Overall,Overall,82,1.3,2020-07-29
